,deaths_c19,deaths_flu,deaths_pna,deaths_c19_and_pna,deaths_c19_pna_or_flu,deaths_total,clusters,cluster
8924,23,0,31,5,49,508,0,pink
8925,49,0,63,19,93,688,0,pink
8926,58,0,69,23,104,716,0,pink
8927,65,0,63,19,109,694,0,pink
8928,147,5,235,54,331,2757,0,pink
8929,0,0,0,0,0,42,0,pink
8930,5,0,5,0,5,71,0,pink
8931,5,0,5,0,5,85,0,pink
8932,5,0,5,5,5,139,0,pink
8933,19,5,45,5,58,498,0,pink
8934,30,5,61,16,76,650,0,pink
8935,47,5,64,16,96,681,0,pink
8936,42,0,55,14,83,591,0,pink
8937,108,10,217,30,305,2996,0,pink
8938,0,0,5,0,5,41,0,pink
8939,0,0,5,0,5,72,0,pink
8940,5,5,5,0,5,96,0,pink
8941,5,5,12,5,17,159,0,pink
8942,12,5,37,5,47,557,0,pink
8943,22,5,46,5,67,665,0,pink
8944,32,5,70,10,93,757,0,pink
8945,35,0,47,5,73,649,0,pink
8946,72,45,240,19,336,2940,0,pink
8947,0,0,0,0,0,36,0,pink
8948,0,5,5,0,5,55,0,pink
8949,5,5,0,0,5,74,0,pink
8950,5,5,10,0,16,156,0,pink
8951,12,14,47,5,72,554,0,pink
8952,12,11,72,5,90,650,0,pink
8953,24,5,63,5,87,767,0,pink
8954,21,5,46,5,66,648,0,pink
8955,132,38,258,38,386,3235,0,pink
8956,0,0,5,0,5,44,0,pink
8957,5,0,5,5,5,59,0,pink
8958,5,5,5,0,11,105,0,pink
8959,5,5,5,0,10,155,0,pink
8960,5,12,35,5,53,597,0,pink
8961,27,5,61,5,88,713,0,pink
8962,42,5,76,15,110,833,0,pink
8963,45,5,72,12,111,729,0,pink
8964,182,11,295,66,419,3143,0,pink
8965,0,0,0,0,0,38,0,pink
8966,5,0,5,0,5,58,0,pink
8967,5,5,5,5,5,72,0,pink
8968,5,0,5,0,10,146,0,pink
8969,25,5,45,5,65,530,0,pink
8970,35,5,73,17,91,719,0,pink
8971,52,5,86,19,122,814,0,pink
8972,67,5,76,22,123,766,0,pink
8973,124,5,211,48,290,2699,0,pink
8974,0,0,5,0,5,39,0,pink
8975,0,0,0,0,0,54,0,pink
8976,5,0,5,5,5,80,0,pink
8977,5,0,5,0,5,130,0,pink
8978,16,5,31,5,43,487,0,pink
8979,24,5,52,10,67,622,0,pink
8980,40,5,64,14,91,676,0,pink
8981,38,0,55,18,75,611,0,pink
8982,73,5,186,23,242,2766,0,pink
8983,0,0,0,0,0,35,0,pink
8984,0,0,0,0,0,64,0,pink
8985,5,0,5,5,5,82,0,pink
8986,5,0,5,5,5,132,0,pink
8987,5,5,32,5,38,532,0,pink
8988,23,5,45,5,62,641,0,pink
8989,17,5,59,5,74,639,0,pink
8990,21,5,42,5,59,641,0,pink
8991,44,5,115,10,150,1573,0,pink
8992,0,0,0,0,0,11,0,pink
8993,0,0,0,0,0,16,0,pink
8994,5,0,5,0,5,37,0,pink
8995,0,0,5,0,5,56,0,pink
8996,5,0,26,5,28,268,0,pink
8997,10,0,30,5,37,352,0,pink
8998,12,5,28,5,38,452,0,pink
8999,16,0,24,5,39,381,0,pink
9000,0,36,363,0,399,5952,1,purple
9001,0,0,5,0,5,62,0,pink
9002,0,0,5,0,5,118,0,pink
9003,0,0,5,0,5,131,0,pink
9004,0,5,5,0,10,227,0,pink
9005,0,12,65,0,77,986,0,pink
9006,0,5,70,0,78,1234,0,pink
9007,0,5,96,0,101,1482,0,pink
9008,0,5,123,0,129,1712,0,pink
9009,0,73,303,0,376,5599,1,purple
9010,0,5,5,0,5,71,0,pink
9011,0,5,5,0,5,106,0,pink
9012,0,5,5,0,5,172,0,pink
9013,0,5,10,0,13,226,0,pink
9014,0,12,56,0,68,948,0,pink
9015,0,13,59,0,72,1177,0,pink
9016,0,19,81,0,100,1332,0,pink
9017,0,17,88,0,105,1567,0,pink
