deaths_c19,deaths_flu,deaths_pna,deaths_c19_and_pna,deaths_c19_pna_or_flu,deaths_total
877,10,511,241,1157,8838
1862,41,966,479,2386,18017
332,5,289,87,542,10751
5,0,5,,5,207
5,0,12,,16,1404
20,0,22,,38,1520
27,5,29,,51,1359
79,5,67,17,131,2468
45,5,43,11,79,1400
66,5,50,16,101,1116
86,5,62,28,121,1277
0,0,0,0,0,36
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
12426,214,9694,4039,18282,118202
15,5,14,,32,825
36,5,26,11,55,1616
124,5,75,30,170,2873
263,5,174,80,365,3852
1586,32,1271,598,2289,17143
2202,38,1879,813,3301,20131
3214,58,2617,1083,4803,28265
4986,68,3638,1422,7267,43497
7402,152,7626,3368,11801,40970
5,5,5,,15,511
25,5,20,11,37,322
85,0,68,28,125,706
195,5,154,78,278,1293
1240,27,1164,576,1854,6946
1610,32,1629,737,2529,8657
2039,41,2141,923,3296,10953
2202,38,2444,1014,3667,11582
470,10,220,65,635,7339
5,5,5,,12,167
5,5,5,0,11,338
12,0,5,0,15,429
27,5,5,,31,512
81,5,20,,96,1663
103,0,44,12,135,1412
109,5,48,15,145,1484
125,5,91,27,190,1334
19,0,12,,28,692
0,0,5,0,5,29
0,0,0,0,0,79
5,0,0,0,5,94
5,0,0,0,5,93
5,0,5,0,5,163
5,0,5,,5,80
5,0,5,0,5,84
5,0,5,,5,70
782,15,359,67,1088,35381
5,0,5,0,5,76
5,0,5,0,5,433
21,5,5,,24,1003
29,0,5,0,35,1284
141,5,34,,170,5794
139,5,46,,182,6185
145,5,84,14,221,7909
300,5,182,39,445,12697
241,5,189,84,351,4305
0,0,0,0,0,5
0,0,0,0,0,5
5,0,5,,5,26
5,0,5,0,5,92
17,0,11,,27,601
33,0,33,16,50,811
68,0,45,19,94,1173
121,5,96,47,175,1593
3274,30,1197,424,4076,22430
0,0,0,0,0,0
0,0,0,0,0,5
0,0,0,0,0,16
5,0,5,0,5,68
97,0,35,,125,1038
298,5,116,38,378,2379
811,5,277,105,989,5568
2066,21,765,274,2578,13359
238,5,91,28,303,7085
0,0,0,0,0,39
0,0,0,0,0,436
5,0,0,0,5,599
5,0,5,0,10,510
5,0,5,0,12,938
14,0,5,,21,607
39,5,19,,52,1094
166,5,57,19,205,2862
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
3376,61,3228,1663,4998,36996
5,5,15,,26,444
5,5,11,,19,623
42,5,46,23,67,1003
90,5,77,46,124,1347
531,5,555,305,789,5924
722,14,815,417,1133,7768
986,11,967,504,1460,9620
988,15,742,363,1380,10267
2044,42,2493,1368,3208,9857
5,5,12,,21,302
5,5,10,,16,114
31,5,39,21,50,198
65,5,68,43,91,344
422,5,479,275,634,1901
534,5,680,368,853,2513
587,5,749,405,940,2668
390,10,456,251,603,1817
99,5,100,33,170,2177
5,5,5,0,5,59
0,0,0,0,0,114
5,0,5,0,5,136
5,5,5,,11,145
20,0,18,,30,497
15,5,22,,34,454
24,0,25,,41,432
28,0,29,11,46,340
