group,year,month,hhs_region,state,place_of_death,age_group,deaths_c19,deaths_flu,deaths_pna,deaths_c19_and_pna,deaths_c19_pna_or_flu,deaths_total
By Month,2021,4,4,Alabama,Total - All Places of Death,30-39 years,5,5,5,5,5,161
By Month,2021,4,4,Alabama,Total - All Places of Death,40-49 years,17,0,18,5,27,283
By Month,2021,4,4,Alabama,Total - All Places of Death,50-64 years,48,5,57,20,86,940
By Month,2021,4,4,Alabama,Total - All Places of Death,65-74 years,52,0,83,18,117,1162
By Month,2021,4,4,Alabama,Total - All Places of Death,75-84 years,48,0,68,11,105,1184
By Month,2021,4,4,Alabama,Total - All Places of Death,85 years and over,43,0,49,10,82,1057
By Month,2021,5,4,Alabama,Total - All Places of Death,All Ages,212,5,277,79,411,4910
By Month,2021,5,4,Alabama,Total - All Places of Death,0-17 years,0,0,0,0,0,64
By Month,2021,5,4,Alabama,Total - All Places of Death,18-29 years,5,0,5,5,5,114
By Month,2021,5,4,Alabama,Total - All Places of Death,30-39 years,5,0,5,5,5,168
By Month,2021,5,4,Alabama,Total - All Places of Death,40-49 years,18,0,12,5,25,243
By Month,2021,5,4,Alabama,Total - All Places of Death,50-64 years,55,5,52,21,87,941
By Month,2021,5,4,Alabama,Total - All Places of Death,65-74 years,68,0,83,26,125,1143
By Month,2021,5,4,Alabama,Total - All Places of Death,75-84 years,38,0,75,15,98,1168
By Month,2021,5,4,Alabama,Total - All Places of Death,85 years and over,28,0,50,10,68,1069
By Month,2021,6,4,Alabama,Total - All Places of Death,All Ages,132,5,270,45,358,4697
By Month,2021,6,4,Alabama,Total - All Places of Death,0-17 years,5,0,5,5,5,82
By Month,2021,6,4,Alabama,Total - All Places of Death,18-29 years,0,0,5,0,5,110
By Month,2021,6,4,Alabama,Total - All Places of Death,30-39 years,5,0,5,0,10,153
By Month,2021,6,4,Alabama,Total - All Places of Death,40-49 years,5,0,10,5,15,254
By Month,2021,6,4,Alabama,Total - All Places of Death,50-64 years,32,5,50,10,73,891
By Month,2021,6,4,Alabama,Total - All Places of Death,65-74 years,33,0,78,13,98,1042
By Month,2021,6,4,Alabama,Total - All Places of Death,75-84 years,35,0,69,12,92,1120
By Month,2021,6,4,Alabama,Total - All Places of Death,85 years and over,19,0,53,5,67,1045
By Month,2021,7,4,Alabama,Total - All Places of Death,All Ages,261,0,335,99,497,4918
By Month,2021,7,4,Alabama,Total - All Places of Death,0-17 years,0,0,5,0,5,78
By Month,2021,7,4,Alabama,Total - All Places of Death,18-29 years,5,0,5,5,5,114
By Month,2021,7,4,Alabama,Total - All Places of Death,30-39 years,11,0,5,5,16,136
By Month,2021,7,4,Alabama,Total - All Places of Death,40-49 years,23,0,22,11,34,287
By Month,2021,7,4,Alabama,Total - All Places of Death,50-64 years,74,0,75,26,123,980
By Month,2021,7,4,Alabama,Total - All Places of Death,65-74 years,66,0,85,26,125,1089
By Month,2021,7,4,Alabama,Total - All Places of Death,75-84 years,51,0,81,18,114,1179
By Month,2021,7,4,Alabama,Total - All Places of Death,85 years and over,32,0,56,10,78,1055
By Month,2021,8,4,Alabama,Total - All Places of Death,All Ages,1682,5,854,632,1904,6655
By Month,2021,8,4,Alabama,Total - All Places of Death,0-17 years,5,0,0,0,5,61
By Month,2021,8,4,Alabama,Total - All Places of Death,18-29 years,29,0,16,15,30,112
By Month,2021,8,4,Alabama,Total - All Places of Death,30-39 years,73,0,42,35,80,249
By Month,2021,8,4,Alabama,Total - All Places of Death,40-49 years,173,5,79,69,183,427
By Month,2021,8,4,Alabama,Total - All Places of Death,50-64 years,504,0,228,188,544,1497
By Month,2021,8,4,Alabama,Total - All Places of Death,65-74 years,424,0,214,158,480,1527
By Month,2021,8,4,Alabama,Total - All Places of Death,75-84 years,312,0,172,114,370,1515
By Month,2021,8,4,Alabama,Total - All Places of Death,85 years and over,165,0,103,53,215,1267
By Month,2021,9,4,Alabama,Total - All Places of Death,All Ages,1978,5,981,761,2198,6766
By Month,2021,9,4,Alabama,Total - All Places of Death,0-17 years,5,0,0,0,5,67
By Month,2021,9,4,Alabama,Total - All Places of Death,18-29 years,23,0,5,5,24,131
By Month,2021,9,4,Alabama,Total - All Places of Death,30-39 years,85,0,33,28,90,246
By Month,2021,9,4,Alabama,Total - All Places of Death,40-49 years,202,0,89,79,212,438
By Month,2021,9,4,Alabama,Total - All Places of Death,50-64 years,644,5,327,272,699,1574
By Month,2021,9,4,Alabama,Total - All Places of Death,65-74 years,496,0,249,190,555,1604
By Month,2021,9,4,Alabama,Total - All Places of Death,75-84 years,355,0,176,129,402,1501
