,group,year,month,hhs_region,state,place_of_death,age_group,deaths_c19,deaths_flu,deaths_pna,deaths_c19_and_pna,deaths_c19_pna_or_flu,deaths_total
154,By Month,2022,6,10,Alaska,Total - All Places of Death,0-17 years,5,0,0,0.0,5,11
155,By Month,2022,6,10,Alaska,Total - All Places of Death,18-29 years,0,0,0,0.0,0,21
156,By Month,2022,6,10,Alaska,Total - All Places of Death,30-39 years,5,0,5,0.0,5,28
157,By Month,2022,6,10,Alaska,Total - All Places of Death,40-49 years,0,0,5,0.0,5,26
158,By Month,2022,6,10,Alaska,Total - All Places of Death,50-64 years,5,0,5,0.0,5,108
159,By Month,2022,6,10,Alaska,Total - All Places of Death,65-74 years,5,0,5,5.0,5,97
160,By Month,2022,6,10,Alaska,Total - All Places of Death,75-84 years,5,0,5,5.0,11,95
161,By Month,2022,6,10,Alaska,Total - All Places of Death,85 years and over,5,5,5,5.0,5,84
162,By Month,2022,7,10,Alaska,Total - All Places of Death,All Ages,25,0,21,10.0,36,493
163,By Month,2022,7,10,Alaska,Total - All Places of Death,0-17 years,5,0,0,0.0,5,19
164,By Month,2022,7,10,Alaska,Total - All Places of Death,18-29 years,0,0,5,0.0,5,20
165,By Month,2022,7,10,Alaska,Total - All Places of Death,30-39 years,5,0,5,0.0,5,41
166,By Month,2022,7,10,Alaska,Total - All Places of Death,40-49 years,5,0,5,5.0,5,31
167,By Month,2022,7,10,Alaska,Total - All Places of Death,50-64 years,5,0,5,5.0,5,89
168,By Month,2022,7,10,Alaska,Total - All Places of Death,65-74 years,5,0,5,5.0,5,116
169,By Month,2022,7,10,Alaska,Total - All Places of Death,75-84 years,5,0,5,0.0,5,95
170,By Month,2022,7,10,Alaska,Total - All Places of Death,85 years and over,5,0,5,5.0,11,82
171,By Month,2022,8,10,Alaska,Total - All Places of Death,All Ages,23,0,26,5.0,41,464
172,By Month,2022,8,10,Alaska,Total - All Places of Death,0-17 years,5,0,0,0.0,5,5
173,By Month,2022,8,10,Alaska,Total - All Places of Death,18-29 years,5,0,0,0.0,5,23
174,By Month,2022,8,10,Alaska,Total - All Places of Death,30-39 years,5,0,5,0.0,5,27
175,By Month,2022,8,10,Alaska,Total - All Places of Death,40-49 years,0,0,5,0.0,5,29
176,By Month,2022,8,10,Alaska,Total - All Places of Death,50-64 years,5,0,5,5.0,5,94
177,By Month,2022,8,10,Alaska,Total - All Places of Death,65-74 years,5,0,5,5.0,11,108
178,By Month,2022,8,10,Alaska,Total - All Places of Death,75-84 years,5,0,5,5.0,5,96
179,By Month,2022,8,10,Alaska,Total - All Places of Death,85 years and over,5,0,5,0.0,5,78
180,By Month,2022,9,10,Alaska,Total - All Places of Death,All Ages,17,0,22,5.0,34,443
181,By Month,2022,9,10,Alaska,Total - All Places of Death,0-17 years,0,0,0,0.0,0,5
182,By Month,2022,9,10,Alaska,Total - All Places of Death,18-29 years,0,0,0,0.0,0,5
183,By Month,2022,9,10,Alaska,Total - All Places of Death,30-39 years,0,0,5,0.0,5,26
184,By Month,2022,9,10,Alaska,Total - All Places of Death,40-49 years,5,0,0,0.0,5,26
185,By Month,2022,9,10,Alaska,Total - All Places of Death,50-64 years,5,0,5,5.0,5,106
186,By Month,2022,9,10,Alaska,Total - All Places of Death,65-74 years,5,0,5,5.0,5,108
187,By Month,2022,9,10,Alaska,Total - All Places of Death,75-84 years,5,0,5,5.0,5,95
188,By Month,2022,9,10,Alaska,Total - All Places of Death,85 years and over,5,0,5,5.0,10,69
189,By Month,2022,10,10,Alaska,Total - All Places of Death,All Ages,11,0,19,5.0,28,461
190,By Month,2022,10,10,Alaska,Total - All Places of Death,0-17 years,0,0,0,0.0,0,5
191,By Month,2022,10,10,Alaska,Total - All Places of Death,18-29 years,0,0,0,0.0,0,19
192,By Month,2022,10,10,Alaska,Total - All Places of Death,30-39 years,0,0,0,0.0,0,32
193,By Month,2022,10,10,Alaska,Total - All Places of Death,40-49 years,5,0,5,5.0,5,37
194,By Month,2022,10,10,Alaska,Total - All Places of Death,50-64 years,5,0,5,0.0,5,96
195,By Month,2022,10,10,Alaska,Total - All Places of Death,65-74 years,5,0,5,0.0,5,85
196,By Month,2022,10,10,Alaska,Total - All Places of Death,75-84 years,5,0,5,5.0,10,105
197,By Month,2022,10,10,Alaska,Total - All Places of Death,85 years and over,5,0,5,0.0,5,84
198,By Month,2022,11,10,Alaska,Total - All Places of Death,All Ages,5,5,16,5.0,27,437
199,By Month,2022,11,10,Alaska,Total - All Places of Death,0-17 years,0,0,5,0.0,5,14
200,By Month,2022,11,10,Alaska,Total - All Places of Death,18-29 years,0,0,0,0.0,0,17
201,By Month,2022,11,10,Alaska,Total - All Places of Death,30-39 years,0,5,0,0.0,5,25
202,By Month,2022,11,10,Alaska,Total - All Places of Death,40-49 years,0,5,5,0.0,5,31
203,By Month,2022,11,10,Alaska,Total - All Places of Death,50-64 years,5,5,5,0.0,5,95
204,By Month,2022,11,10,Alaska,Total - All Places of Death,65-74 years,5,5,5,0.0,5,92
205,By Month,2022,11,10,Alaska,Total - All Places of Death,75-84 years,5,5,5,0.0,5,85
206,By Month,2022,11,10,Alaska,Total - All Places of Death,85 years and over,5,0,5,5.0,5,78
207,By Month,2022,12,10,Alaska,Total - All Places of Death,All Ages,5,5,27,5.0,39,530
208,By Month,2022,12,10,Alaska,Total - All Places of Death,0-17 years,0,0,0,0.0,0,5
209,By Month,2022,12,10,Alaska,Total - All Places of Death,18-29 years,0,0,0,0.0,0,16
210,By Month,2022,12,10,Alaska,Total - All Places of Death,30-39 years,0,0,5,0.0,5,31
211,By Month,2022,12,10,Alaska,Total - All Places of Death,40-49 years,5,0,5,0.0,5,27
212,By Month,2022,12,10,Alaska,Total - All Places of Death,50-64 years,5,5,10,5.0,13,109
213,By Month,2022,12,10,Alaska,Total - All Places of Death,65-74 years,5,5,5,0.0,5,123
214,By Month,2022,12,10,Alaska,Total - All Places of Death,75-84 years,5,0,5,5.0,5,137
215,By Month,2022,12,10,Alaska,Total - All Places of Death,85 years and over,5,5,5,5.0,5,79
216,By Month,2022,1,9,Arizona,Total - All Places of Death,All Ages,2081,15,1568,1199.0,2462,8546
217,By Month,2022,1,9,Arizona,Total - All Places of Death,0-17 years,5,0,5,5.0,5,85
